Starting training on 'adult' dataset...
Number of features (actions): 14
------------------------------
Episode  100 | Feature: race                 | Reward:   0.0100 | Acc: 0.8200 | DPG: 0.5280 | Loss:  -0.0447
Episode  200 | Feature: education.num        | Reward:   0.1417 | Acc: 0.7600 | DPG: 0.0833 | Loss:   0.0699
Episode  300 | Feature: relationship         | Reward:   0.2150 | Acc: 0.6800 | DPG: 0.5229 | Loss:   0.0200
Episode  400 | Feature: relationship         | Reward:   0.2317 | Acc: 0.6900 | DPG: 0.3093 | Loss:   0.0051
Episode  500 | Feature: relationship         | Reward:   0.1783 | Acc: 0.7133 | DPG: 0.3508 | Loss:  -0.0003
Episode  600 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7400 | DPG: 0.2883 | Loss:  -0.0003
Episode  700 | Feature: relationship         | Reward:   0.1550 | Acc: 0.6767 | DPG: 0.4848 | Loss:  -0.0009
Episode  800 | Feature: relationship         | Reward:   0.1633 | Acc: 0.7133 | DPG: 0.3374 | Loss:  -0.0003
Episode  900 | Feature: relationship         | Reward:   0.1467 | Acc: 0.7467 | DPG: 0.2036 | Loss:  -0.0014
Episode 1000 | Feature: relationship         | Reward:   0.2017 | Acc: 0.6900 | DPG: 0.3978 | Loss:   0.0007
Episode 1100 | Feature: relationship         | Reward:   0.1967 | Acc: 0.7100 | DPG: 0.3462 | Loss:   0.0008
Episode 1200 | Feature: relationship         | Reward:   0.1950 | Acc: 0.7000 | DPG: 0.3640 | Loss:   0.0011
Episode 1300 | Feature: education.num        | Reward:   0.1383 | Acc: 0.7867 | DPG: 0.1950 | Loss:   0.4529
Episode 1400 | Feature: relationship         | Reward:   0.1683 | Acc: 0.7000 | DPG: 0.2343 | Loss:   0.0138
Episode 1500 | Feature: relationship         | Reward:   0.2183 | Acc: 0.7133 | DPG: 0.3496 | Loss:   0.0090
Episode 1600 | Feature: education.num        | Reward:   0.1200 | Acc: 0.8200 | DPG: 0.1087 | Loss:   0.2845
Episode 1700 | Feature: relationship         | Reward:   0.1567 | Acc: 0.7500 | DPG: 0.4923 | Loss:   0.0009
Episode 1800 | Feature: relationship         | Reward:   0.1833 | Acc: 0.7167 | DPG: 0.2807 | Loss:   0.0033
Episode 1900 | Feature: relationship         | Reward:   0.1850 | Acc: 0.6933 | DPG: 0.2561 | Loss:   0.0055
Episode 2000 | Feature: relationship         | Reward:   0.1917 | Acc: 0.6900 | DPG: 0.2857 | Loss:   0.0020
